Rank,Computer,Min (min),Mean (min),Max (min),Std Dev (min)
1,Apple M5 (ARM) WorkM5 (10c-4.61GHz),3.48,6.66,11.37,2.59
2,Apple M3 Max  (x86) WorkM3 (16c-4.05 GHz),5.10,6.93,10.05,1.64
3,Apple M5  (x86) WorkM5 (10c-4.61GHz),4.52,8.17,13.82,2.97
4,Apple M2 Pro  (x86) WorkM2 (12c-3.48GHz),6.11,8.35,12.50,2.10
5,AMD Ryzen Threadripper 3990X  (x86) ESI (64c-2.9Ghz),6.68,8.93,12.93,1.93
6,Apple M4  (x86) SGM023 (10c-4.51 GHz),4.78,8.94,15.06,3.38
7,Intel i7-13700KF (x86) SLG (16c-5.4GHz),4.66,10.60,19.08,4.80
8,Apple M2 (x86) SGM005 (8c-3.49 GHz),5.98,12.88,21.98,5.43
9,Intel i9-14900KF (x86) XW Legion T7 (24c-3.2 MHz),6.74,13.43,24.10,5.85
10,AMD Ryzen 7 8845HS (x86) Beelink (8c-5.1 GHz),5.30,13.75,27.17,7.07
11,Apple M1 (x86) SGM001 (8c-3.2 GHz),8.32,16.59,28.88,6.87
12,Intel i7-14700 (x86) SA-Model5 (20c-5.3 GHz),8.90,21.45,40.98,10.83
13,AMD Ryzen 9 5950x (x86) KOP (16c-4.9 GHz),5.63,21.76,43.05,12.08
14,Intel i9-9980HK  (x86) Dev (8c-2.3 GHz),8.12,23.96,61.83,15.63
15,"AMD AMD Ryzen 7 2700  (x86) DA (9 cores 4Ghz, OC)",8.53,27.04,51.21,14.45
16,Intel Xeon E-2288G (x86) DA (8c-3.7GHz),7.87,28.45,55.67,17.45
17,Intel i7-10750H  (x86) Legion7i (12c-2.7GHz),8.17,29.54,54.36,14.88
